department,dep_id,municipality,mun_id,school_id,school_name,lat,long,address,program_ids,program_labels,program_labels_1,program_labels_2,program_labels_3,program_labels_4,program_labels_5,program_labels_6,modality_ids,modality_labels,modality_labels_1,modality_labels_2,modality_labels_3,modality_labels_4,modality_labels_5,modality_labels_6,modality_labels_7,modality_labels_8,modality_labels_9,modality_labels_10
León,5,El Sauce,45,2031,HATO VIEJO #1,12.915667,-86.622856,15 KMS AL NOROESTE.,2,PRIMARIA,PRIMARIA,NA,NA,NA,NA,NA,1410,"PRIMARIA MULTIGRADO,PREESCOLAR COMUNITARIO MULTINIVEL",PRIMARIA MULTIGRADO,PREESCOLAR COMUNITARIO MULTINIVEL,NA,NA,NA,NA,NA,NA,NA,NA
León,5,El Sauce,45,2032,LOS LIMONES,12.90952,-86.5605,5 KILOMETROS AL NORESTE DE EL SAUCE.,2,PRIMARIA,PRIMARIA,NA,NA,NA,NA,NA,1014,"PREESCOLAR COMUNITARIO MULTINIVEL,PRIMARIA MULTIGRADO",PREESCOLAR COMUNITARIO MULTINIVEL,PRIMARIA MULTIGRADO,NA,NA,NA,NA,NA,NA,NA,NA
León,5,El Sauce,45,2033,SAN CAYETANO,12.915173,-86.562318,6 KILOMETROS NOROESTE DE EL SAUCE.,2,PRIMARIA,PRIMARIA,NA,NA,NA,NA,NA,1411,"PRIMARIA MULTIGRADO,PREESCOLAR FORMAL MULTINIVEL",PRIMARIA MULTIGRADO,PREESCOLAR FORMAL MULTINIVEL,NA,NA,NA,NA,NA,NA,NA,NA
León,5,El Sauce,45,2034,CENTRO ESCOLAR ERNESTINA REYES,12.85577,-86.540291,ANTIGUA ESTACION DE FERROCARRIL 8 KM SURESTE.,2,PRIMARIA,PRIMARIA,NA,NA,NA,NA,NA,113,"PREESCOLAR FORMAL MULTINIVEL,PRIMARIA REGULAR",PREESCOLAR FORMAL MULTINIVEL,PRIMARIA REGULAR,NA,NA,NA,NA,NA,NA,NA,NA
León,5,El Sauce,45,2035,EL GUACUCAL,12.8022,-86.5213,10 KILOMETROS SURESTE DE EL SAUCE.,22,"PRIMARIA,PRIMARIA",PRIMARIA,PRIMARIA,NA,NA,NA,NA,10714113,"III CICLO,PRIMARIA MULTIGRADO,PREESCOLAR FORMAL MULTINIVEL,PRIMARIA REGULAR",III CICLO,PRIMARIA MULTIGRADO,PREESCOLAR FORMAL MULTINIVEL,PRIMARIA REGULAR,NA,NA,NA,NA,NA,NA
León,5,El Sauce,45,2036,PREESCOLAR SAN FERNANDO Nº 1,12.7646,-86.54716,20 KILOMETROS SURESTE DE EL SAUCE.,2,PRIMARIA,PRIMARIA,NA,NA,NA,NA,NA,14,PRIMARIA MULTIGRADO,PRIMARIA MULTIGRADO,NA,NA,NA,NA,NA,NA,NA,NA,NA
León,5,El Sauce,45,2037,CENTRO ESCOLAR LOS PANALES Nº 1,12.900395,-86.572776,5 KILOMETROSAL NOROESTE DE EL SAUCE.,2,PRIMARIA,PRIMARIA,NA,NA,NA,NA,NA,14,PRIMARIA MULTIGRADO,PRIMARIA MULTIGRADO,NA,NA,NA,NA,NA,NA,NA,NA,NA
León,5,El Sauce,45,2038,ESCUELA CENICERA LAS GARZAS,12.847983,-86.660346,16 KMS AL SUR OESTE DEL SAUCE.,2,PRIMARIA,PRIMARIA,NA,NA,NA,NA,NA,1410,"PRIMARIA MULTIGRADO,PREESCOLAR COMUNITARIO MULTINIVEL",PRIMARIA MULTIGRADO,PREESCOLAR COMUNITARIO MULTINIVEL,NA,NA,NA,NA,NA,NA,NA,NA
León,5,El Sauce,45,2039,PETAQUILLA,12.96227,-86.49207,13 KILOMETROS CARRETERA A ESTELÍ.,2,PRIMARIA,PRIMARIA,NA,NA,NA,NA,NA,1014,"PREESCOLAR COMUNITARIO MULTINIVEL,PRIMARIA MULTIGRADO",PREESCOLAR COMUNITARIO MULTINIVEL,PRIMARIA MULTIGRADO,NA,NA,NA,NA,NA,NA,NA,NA
León,5,El Sauce,45,2040,PREESCOLAR CORRE VIENTO,12.949989,-86.521316,9 KILOMETROS NOROESTE DE EL SAUCE.,2,PRIMARIA,PRIMARIA,NA,NA,NA,NA,NA,1410,"PRIMARIA MULTIGRADO,PREESCOLAR COMUNITARIO MULTINIVEL",PRIMARIA MULTIGRADO,PREESCOLAR COMUNITARIO MULTINIVEL,NA,NA,NA,NA,NA,NA,NA,NA
