Nombre,Latitud,Longitud,Direccion,Modalidades,department,municipality,dep_id,mun_id
CENTRO ESCOLAR CELESTINA ROBLETO.,12.57101500,-85.54355100,22 KM. AL ESTE DE BOACO.,"PREESCOLAR COMUNITARIO MULTINIVEL, III CICLO, IV CICLO, PRIMARIA MULTIGRADO",Boaco,Boaco,11,100
CENTRO ESCOLAR ROBERTO GUILLEN BARQUERO.,12.47510200,-85.51898100,BOACO VIEJO CARRETERA A  LA REYNA  Nº 1.,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL",Boaco,Boaco,11,100
CENTRO ESCOLAR SANTA INES (AMALIA MIRANDA.),12.39338000,-85.62516000,COMARCA SANTA INES FTE. A LA IGLESIA.,"SECUNDARIA EN EL CAMPO, PRIMARIA MULTIGRADO, PREESCOLAR FORMAL MULTINIVEL",Boaco,Boaco,11,100
CENTRO ESCOLAR CRISTOBAL CALERO.,12.68543600,-85.36571000,COMARCA LA REFORMA.,"PREESCOLAR COMUNITARIO MULTINIVEL, PRIMARIA MULTIGRADO",Boaco,Boaco,11,100
CENTRO ESCOLAR SANTOS ALFONZO HURTADO GARCIA,12.63314000,-85.33360000,CAÑO BLANCO #1 CARRETERA A LA VEGA.,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL",Boaco,Boaco,11,100
CENTRO ESCOLAR SAN ANTONIO LOS RODRIGUEZ.,12.55664000,-85.53085000,COMARCA LOS RODRIGUEZ.,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL",Boaco,Boaco,11,100
CENTRO ESCOLAR AZARIAS H. PALLAIS.,12.48843000,-85.60949000,LAS CAÑAS 8 KM. AL OESTE DE BOACO.,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL",Boaco,Boaco,11,100
CENTRO ESCOLAR FRANCISCO SALGADO SEQUEIRA.,12.65963800,-85.44519000,COMUNIDAD TABACAL NORTE.,PRIMARIA MULTIGRADO,Boaco,Boaco,11,100
COLEGIO SAN VICENTE DE PAUL,12.47320000,-85.66280000,ENACAL 30 VRS. AL NORTE.,"PREESCOLAR FORMAL, SECUNDARIA REGULAR, PREESCOLAR FORMAL MULTINIVEL, PRIMARIA REGULAR",Boaco,Boaco,11,100
CENTRO ESCOLAR ALFONZO CORTÉZ.,12.65285900,-85.39348000,CARRETERA A LA REFORMA.,"PREESCOLAR COMUNITARIO, PRIMARIA A DISTANCIA EN EL CAMPO, PRIMARIA MULTIGRADO",Boaco,Boaco,11,100
CENTRO ESCOLAR JOSÉ DOMINGO SEGURA,12.51433000,-85.45952000,FINCA SANTA BARBARA 4 KM. AL NORTE.,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL",Boaco,Boaco,11,100
CENTRO ESCOLAR ARMANDO INCER BARQUERO.,12.55004700,-85.64082000,COMARCA ALTOS DE SAN BUENAVENTURA.,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL",Boaco,Boaco,11,100
CENTRO ESCOLAR MIGUEL FLORES.,12.43749000,-85.57442000,WIRRUCA.,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL",Boaco,Boaco,11,100
CENTRO ESCOLAR 14 DE SEPTIEMBRE.,12.65570000,-85.59863000,WIWAS Nº 2.,PRIMARIA MULTIGRADO,Boaco,Boaco,11,100
CENTRO ESCOLAR SAN JOSÉ RIO NEGRO.,12.55627000,-85.41102000,CARRETERA A RIO NEGRO.,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL",Boaco,Boaco,11,100
CENTRO ESCOLAR LUIS ALFONSO SOTELO HERNADEZ (EL JABILLO),12.61374000,-85.32164000,COMUNIDAD EL JABILLO.,"PREESCOLAR COMUNITARIO, PRIMARIA MULTIGRADO",Boaco,Boaco,11,100
