department,municipality,dep_id,mun_id,Nombre,Direccion,Latitud,Longitud,Modalidades
Boaco,Boaco,11,100,CENTRO ESCOLAR SANTA INES (AMALIA MIRANDA.),COMARCA SANTA INES FTE. A LA IGLESIA.,12.39338000,-85.62516000,"SECUNDARIA EN EL CAMPO, PRIMARIA MULTIGRADO, PREESCOLAR FORMAL MULTINIVEL"
Boaco,Boaco,11,100,CENTRO ESCOLAR CRISTOBAL CALERO.,COMARCA LA REFORMA.,12.68543600,-85.36571000,"PREESCOLAR COMUNITARIO MULTINIVEL, PRIMARIA MULTIGRADO"
Boaco,Boaco,11,100,CENTRO ESCOLAR SANTOS ALFONZO HURTADO GARCIA,CAÑO BLANCO #1 CARRETERA A LA VEGA.,12.63314000,-85.33360000,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL"
Boaco,Boaco,11,100,CENTRO ESCOLAR SAN ANTONIO LOS RODRIGUEZ.,COMARCA LOS RODRIGUEZ.,12.55664000,-85.53085000,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL"
Boaco,Boaco,11,100,CENTRO ESCOLAR AZARIAS H. PALLAIS.,LAS CAÑAS 8 KM. AL OESTE DE BOACO.,12.48843000,-85.60949000,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL"
Boaco,Boaco,11,100,CENTRO ESCOLAR FRANCISCO SALGADO SEQUEIRA.,COMUNIDAD TABACAL NORTE.,12.65963800,-85.44519000,PRIMARIA MULTIGRADO
Boaco,Boaco,11,100,COLEGIO SAN VICENTE DE PAUL,ENACAL 30 VRS. AL NORTE.,12.47320000,-85.66280000,"PREESCOLAR FORMAL, SECUNDARIA REGULAR, PREESCOLAR FORMAL MULTINIVEL, PRIMARIA REGULAR"
Boaco,Boaco,11,100,CENTRO ESCOLAR ALFONZO CORTÉZ.,CARRETERA A LA REFORMA.,12.65285900,-85.39348000,"PREESCOLAR COMUNITARIO, PRIMARIA A DISTANCIA EN EL CAMPO, PRIMARIA MULTIGRADO"
Boaco,Boaco,11,100,CENTRO ESCOLAR JOSÉ DOMINGO SEGURA,FINCA SANTA BARBARA 4 KM. AL NORTE.,12.51433000,-85.45952000,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL"
Boaco,Boaco,11,100,CENTRO ESCOLAR ARMANDO INCER BARQUERO.,COMARCA ALTOS DE SAN BUENAVENTURA.,12.55004700,-85.64082000,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL"
Boaco,Boaco,11,100,CENTRO ESCOLAR MIGUEL FLORES.,WIRRUCA.,12.43749000,-85.57442000,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL"
Boaco,Boaco,11,100,CENTRO ESCOLAR 14 DE SEPTIEMBRE.,WIWAS Nº 2.,12.65570000,-85.59863000,PRIMARIA MULTIGRADO
Boaco,Boaco,11,100,CENTRO ESCOLAR SAN JOSÉ RIO NEGRO.,CARRETERA A RIO NEGRO.,12.55627000,-85.41102000,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL"
Boaco,Boaco,11,100,CENTRO ESCOLAR LUIS ALFONSO SOTELO HERNADEZ (EL JABILLO),COMUNIDAD EL JABILLO.,12.61374000,-85.32164000,"PREESCOLAR COMUNITARIO, PRIMARIA MULTIGRADO"
Boaco,Boaco,11,100,CENTRO ESCOLAR CORAZON DE MARIA.,COMARCA EL PUEBLITO DEL PORTON 4 KMS AL NOROESTE.,12.61516000,-85.56202000,"PREESCOLAR COMUNITARIO MULTINIVEL, PRIMARIA MULTIGRADO"
Boaco,Boaco,11,100,CENTRO ESCOLAR JOSEFA DOLORES CAMPOS.,ENTRADA HACENDO ENRIQUE 5 KM. AL SUR.,12.49293000,-85.55917000,"PREESCOLAR COMUNITARIO MULTINIVEL, EBA, PRIMARIA MULTIGRADO"
Boaco,Boaco,11,100,MIGUEL OBANDO BRAVO,CARRETERA A SAN BUENAVENTURA KM 21.,12.60132800,-85.62422000,"PREESCOLAR COMUNITARIO MULTINIVEL, PRIMARIA MULTIGRADO"
Boaco,Boaco,11,100,CENTRO ESCOLAR SANTA RITA (LOS PLANES),CASERIOS LOS PLANES.,12.56736600,-85.36113500,"PREESCOLAR COMUNITARIO MULTINIVEL, PRIMARIA MULTIGRADO"
Boaco,Boaco,11,100,CENTRO ESCOLAR CRISTO REY (BARRIO NUEVO),CARRETERA A LA VEGA DESVIO A Bº NUEVO DE BOACO 45 KMS.,12.66259000,-85.42822000,"PREESCOLAR COMUNITARIO MULTINIVEL, PRIMARIA MULTIGRADO"
Boaco,Boaco,11,100,CENTRO ESCOLAR MATÍAS ORDEÑANA,COMARCA TABACAL SUBSÉCTOR SUR.,12.67605000,-85.47873000,PRIMARIA MULTIGRADO
Boaco,Boaco,11,100,CENTRO ESCOLAR NIÑO JESÚS DE PRAGA,TABACAL CENTRAL.,12.69219000,-85.42735000,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL, ALFABETIZACION"
Boaco,Boaco,11,100,LA ESPERANZA,COMARCA EL CAPITAN SECTOR CERRO GRANDE.,12.65536000,-85.62159000,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO"
Boaco,Boaco,11,100,SAN FELIPE (FILAS DE BAGUAS),FILAS DE BAGUAS.,12.61244000,-85.46172000,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL"
Boaco,Boaco,11,100,SAN PABLO,CARRETERA A LA VEGA ENTRADA AL ARENAL.,12.64306000,-85.29412000,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL"
Boaco,Boaco,11,100,VIRGEN DE GUADALUPE,CERRO GRANDE.,12.52908100,-85.64302800,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL"
Boaco,Boaco,11,100,NUESTRA SEÑORA DEL CARMEN,COMARCA SAN ISIDRO #2.,12.53429300,-85.49525000,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL"
Boaco,Boaco,11,100,SAN MARCOS,CARRETERA A LA VEGA DE BOACO A 62 KM.,12.60778000,-85.35115000,"PREESCOLAR COMUNITARIO, PRIMARIA MULTIGRADO"
Boaco,Boaco,11,100,ESCUELA ESPECIAL LIDIA VALDIVIA,COLEGIO EMILIO SOBALVARRO 3C AL OESTE.,12.47040000,-85.66225000,"INCLUSION SOCIO LABORAL, EDUCACION TEMPRANA, PREES. FORMAL EN EDUC. ESPECIAL, PRIM. REGULAR EN EDUC. ESPECIAL"
Boaco,Boaco,11,100,SAN SEBASTÍAN,CARRETERA RÍO BLANCO.,12.69932000,-85.49445000,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL"
Boaco,Boaco,11,100,SALOMON IBARRA MAYORGA,FILAS VERDE SECTOR PIEDRA SEMBRADA.,12.61431300,-85.61712800,"PREESCOLAR COMUNITARIO, PRIMARIA MULTIGRADO"
Boaco,Boaco,11,100,REYNA ISABEL TERMINIO MENDEZ,CASA COMUNAL.,12.47650000,-85.65402000,"PREESCOLAR COMUNITARIO MULTINIVEL, PRIMARIA MULTIGRADO"
Boaco,Boaco,11,100,SUSANA MARIA GOMEZ MENDOZA,FRENTE A LA BARRERA.,12.48113500,-85.64793100,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL"
Boaco,Boaco,11,100,CENTRO ESCOLAR DOCTOR MOISES SOTELO,40 KMS CARRETERA A RIO NEGRO.,12.55114000,-85.42861000,"PREESCOLAR COMUNITARIO MULTINIVEL, PRIMARIA MULTIGRADO"
Boaco,Boaco,11,100,CENTRO ESCOLAR JUAN BAUTISTA ARRIEN,LAS CAÑITAS.,12.43839000,-85.63063000,PRIMARIA MULTIGRADO
Boaco,Boaco,11,100,CARLOS FONSECA,SAN ANDRES BAJO NO. 2.,12.56928000,-85.58577000,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO"
Boaco,Boaco,11,100,CENTRO ESCOLAR NORMAN ARROLIGA,IGLESIA EL BUEN PASTOR.,12.60303000,-85.30467000,"PREESCOLAR COMUNITARIO MULTINIVEL, PRIMARIA MULTIGRADO"
Boaco,Boaco,11,100,MIGUEL DE CASTILLA,CARRETERA DE RIO NEGRO.,12.54742000,-85.37926000,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL"
Boaco,Boaco,11,100,ORLANDO PINEDA,MIRAFLOR.,12.58124600,-85.40137000,PRIMARIA MULTIGRADO
Boaco,Boaco,11,100,GERMAN POMARES ORDOÑEZ,CARRETERA A RIO BLANCO.,12.67481100,-85.51298900,PRIMARIA MULTIGRADO
Boaco,Boaco,11,100,FLAVIO CESAR TIJERINO,DE LA IGLESIA DE DIOS 300MTS AL OESTE.,12.52007000,-85.44471000,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL"
Boaco,Boaco,11,100,FELIPE BORGE,EL JOBILLO.,12.58401400,-85.32793300,PRIMARIA MULTIGRADO
Boaco,Boaco,11,100,SAN VICENTE NO.3,SECTOR SAN VICENTE.,12.53743000,-85.47248000,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL"
Boaco,Boaco,11,100,ALCIDES MIRANDA,WIWAS NO.1.,12.64148000,-85.55580000,"PREESCOLAR COMUNITARIO MULTINIVEL, PRIMARIA MULTIGRADO"
Boaco,Boaco,11,100,GEORGINO ANDRADE,CARRETERA A SAN JOSE DE LA VEGA.,12.62185000,-85.51931000,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL"
Boaco,Boaco,11,100,SAN JOSE OBRERO,EL CACAO.,12.38782000,-85.60007000,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL"
Boaco,Boaco,11,100,AUGUSTO C. SANDINO,DE LA ESC. BASE 8KMS CARRETERA  RIO NEGRO.,12.58917000,-85.51788000,"PREESCOLAR COMUNITARIO MULTINIVEL, PRIMARIA MULTIGRADO"
Boaco,Boaco,11,100,PROF. JULIO CESAR SANDOVAL,SANTA FE.,12.62540900,-85.42327600,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL"
Boaco,Boaco,11,100,CENTRO ESCOLAR SAN PEDRO DE SACAL,.,12.53966100,-85.52136000,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL"
Boaco,Boaco,11,100,PREESCOLAR EL SOCORRO,ANTIGUA FINCA DE FCO.MARTINEZ 200MTS AL NORTE.,12.48950000,-85.67996000,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL"
